,sacrum height,hump position,horn length,withers height,muzzle circumference,stripe mullet,body length,tail length,distance base horn,head length,sex,age,genotype
386,119.0,1,22.0,117.0,37.0,0,83.0,117.0,17.0,47.0,1,4.5,0
387,128.0,1,31.0,121.0,42.0,0,98.0,124.0,14.0,49.0,1,6.0,0
388,117.0,1,31.0,116.0,39.0,0,84.0,115.0,15.0,46.0,1,6.0,0
389,122.0,1,33.0,113.0,36.0,0,96.0,119.0,13.0,44.0,0,6.0,0
390,126.0,1,47.0,119.0,38.0,0,95.0,124.0,15.0,47.0,0,9.0,0
391,122.0,1,41.0,119.0,36.0,0,88.0,119.0,14.0,48.0,0,7.0,0
392,120.0,1,40.0,115.0,36.0,0,94.0,120.0,15.0,46.0,0,8.0,0
393,117.0,1,20.0,113.0,37.0,0,92.0,122.0,17.0,44.0,1,3.0,0
394,117.0,1,36.0,108.0,36.0,0,88.0,115.0,12.0,42.0,0,12.0,0
395,116.0,1,31.5,114.0,37.0,0,88.0,117.0,16.0,46.0,0,7.0,0
